asset_ip,score,cvss,epss,vpr_score,asset_criticality,asset_exposure,vuln_state,first_seen,last_seen,severity_label,cisa,siem,is_cve_trend,reference_date
192.0.2.45,"18,60",7.8,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.45,"19,80",8.4,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.10,"13,00",5.0,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.10,"13,80",5.4,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.10,"14,00",5.5,"0,00",,0,3,Maintained,2026-01-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.10,"15,00",6.0,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.10,"15,60",6.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.10,"16,00",5.5,"0,39",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.10,"17,60",7.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.10,"18,00",7.5,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.10,"18,00",7.5,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,True,2026-05-01 00:00:00
192.0.2.10,"18,60",7.8,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.10,"18,60",7.8,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.10,"19,20",8.1,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.10,"22,60",9.8,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Crítica,False,,False,2026-05-01 00:00:00
192.0.2.74,"13,00",5.0,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.74,"14,00",5.5,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.74,"15,00",6.0,"0,00",,0,3,Maintained,2026-05-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.74,"15,20",6.1,"0,00",,0,3,Maintained,2026-05-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.74,"16,20",6.6,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.74,"17,20",7.1,"0,00",,0,3,Maintained,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.74,"17,60",7.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.74,"18,60",7.8,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.74,"19,80",8.4,"0,00",,0,3,Maintained,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.74,"20,60",8.8,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.74,"21,60",9.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Crítica,False,,False,2026-05-01 00:00:00
192.0.2.74,"22,20",9.6,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Crítica,False,,False,2026-05-01 00:00:00
192.0.2.74,"22,60",9.8,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Crítica,False,,False,2026-05-01 00:00:00
192.0.2.74,"27,00",8.2,"0,53",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,True,,False,2026-05-01 00:00:00
192.0.2.73,"3,00",,"0,00",,0,3,Informational,2025-12-01 00:00:00,2026-05-01 00:00:00,,False,,True,2026-05-01 00:00:00
192.0.2.73,"3,00",,"0,00",,0,3,Informational,2026-03-01 00:00:00,2026-05-01 00:00:00,,False,,False,2026-05-01 00:00:00
192.0.2.73,"8,20",2.6,"0,00",,0,3,Maintained,2026-03-01 00:00:00,2026-05-01 00:00:00,Baixa,False,,False,2026-05-01 00:00:00
192.0.2.73,"9,20",3.1,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Baixa,False,,False,2026-05-01 00:00:00
192.0.2.73,"10,40",3.7,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Baixa,False,,False,2026-05-01 00:00:00
192.0.2.73,"13,80",5.4,"0,00",,0,3,Informational,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.73,"16,00",6.5,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.6,"11,60",4.3,"0,01",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.6,"13,00",5.0,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.6,"14,00",5.0,"0,19",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.6,"15,20",6.1,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.6,"15,20",6.1,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.6,"16,00",5.5,"0,39",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.6,"16,60",6.8,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,True,2026-05-01 00:00:00
192.0.2.6,"17,60",7.3,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.6,"17,60",7.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.6,"17,60",7.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.6,"18,00",7.5,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.6,"18,00",7.5,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.6,"18,60",7.8,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.6,"19,20",8.1,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.6,"22,60",9.8,"0,00",,0,3,Fixed,2026-04-01 00:00:00,2026-04-01 00:00:00,Crítica,False,,False,2026-05-01 00:00:00
192.0.2.6,"30,30",8.8,"0,94",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,True,,False,2026-05-01 00:00:00
192.0.2.46,"13,00",5.0,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.46,"14,00",5.0,"0,19",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.46,"15,20",6.1,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.46,"16,00",5.5,"0,39",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Média,False,,False,2026-05-01 00:00:00
192.0.2.46,"17,60",7.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.46,"17,60",7.3,"0,00",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.46,"18,00",7.5,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,True,2026-05-01 00:00:00
192.0.2.46,"18,60",7.8,"0,00",,0,3,New,2026-05-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.46,"18,70",7.8,"0,02",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
192.0.2.46,"19,40",7.8,"0,16",,0,3,Maintained,2025-12-01 00:00:00,2026-05-01 00:00:00,Alta,False,,False,2026-05-01 00:00:00
