asset_ip,vuln_count,score_mean,score_max,cvss_mean,epss_mean,exposure,cisa_count,cve_trend_count,months_open_max,cluster,risk_profile
192.0.2.1,7,18.914285714285715,22.6,7.957142857142857,0.0,3,0,0,4.0,1,High
192.0.2.10,13,16.923076923076923,22.6,6.884615384615385,0.030000000000000002,3,0,1,5.0,1,High
192.0.2.100,11,19.05454545454546,23.0,8.027272727272727,0.0009090909090909091,3,0,0,5.0,1,High
192.0.2.101,27,21.42222222222222,30.3,8.137037037037038,0.09703703703703705,3,9,0,5.0,1,High
192.0.2.102,26,18.111538461538462,30.3,7.369230769230769,0.036538461538461534,3,1,0,5.0,1,High
192.0.2.103,10,19.59,27.7,7.779999999999999,0.10800000000000001,3,1,0,5.0,1,High
192.0.2.104,8,11.375,20.0,4.0625,0.05125,3,0,0,5.0,0,Critical
192.0.2.105,29,17.648275862068967,30.3,7.06551724137931,0.03482758620689655,3,2,2,5.0,1,High
192.0.2.106,9,16.45555555555556,22.6,6.722222222222222,0.0044444444444444444,3,0,0,5.0,1,High
192.0.2.107,6,18.866666666666667,22.6,7.933333333333334,0.0,3,0,0,5.0,1,High
192.0.2.108,12,15.475,27.0,5.908333333333334,0.049999999999999996,3,1,2,5.0,1,High
192.0.2.109,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
192.0.2.11,21,21.52857142857143,27.6,8.223809523809525,0.03619047619047619,3,8,1,3.0,1,High
192.0.2.110,4,7.8,16.0,2.4,0.0,3,0,0,5.0,0,Critical
192.0.2.111,9,17.48888888888889,22.6,7.2444444444444445,0.0,3,0,0,0.0,2,Moderate
192.0.2.112,7,16.285714285714285,18.6,6.571428571428571,0.027142857142857142,3,0,0,5.0,1,High
192.0.2.113,21,22.133333333333333,30.3,8.295238095238096,0.08095238095238096,3,9,1,5.0,1,High
192.0.2.114,12,19.691666666666666,30.3,7.75,0.15583333333333335,3,1,1,5.0,1,High
192.0.2.115,5,9.76,16.0,3.38,0.0,3,0,0,3.0,0,Critical
192.0.2.116,3,17.400000000000002,20.6,7.2,0.0,3,0,0,5.0,1,High
192.0.2.117,5,9.0,16.0,3.0,0.0,3,0,1,5.0,0,Critical
192.0.2.118,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
192.0.2.119,4,16.4,18.6,6.7,0.0,3,0,0,1.0,2,Moderate
192.0.2.12,4,10.5,16.0,3.75,0.0,3,0,0,2.0,2,Moderate
192.0.2.120,3,9.4,16.0,3.1999999999999997,0.0,3,0,0,0.0,2,Moderate
192.0.2.121,14,16.507142857142856,18.6,6.535714285714286,0.017857142857142856,3,1,0,5.0,1,High
192.0.2.122,1,18.6,18.6,7.8,0.0,3,0,0,0.0,2,Moderate
192.0.2.123,9,17.01111111111111,22.6,6.988888888888889,0.006666666666666666,3,0,0,5.0,1,High
192.0.2.124,1,3.0,3.0,0.0,0.0,3,0,0,5.0,0,Critical
192.0.2.125,10,21.65,30.3,8.34,0.095,3,2,0,5.0,1,High
192.0.2.126,5,9.0,16.0,3.0,0.0,3,0,1,5.0,0,Critical
192.0.2.127,25,20.58,29.6,7.716,0.07,3,9,1,4.0,1,High
192.0.2.13,2,15.8,18.6,6.4,0.0,3,0,0,5.0,1,High
192.0.2.14,8,18.9875,30.3,7.3875,0.11875,3,1,0,5.0,1,High
192.0.2.15,20,17.369999999999997,30.3,6.935,0.0505,3,1,1,0.0,2,Moderate
192.0.2.16,5,18.46,25.7,7.220000000000001,0.004,3,1,1,1.0,2,Moderate
192.0.2.17,5,9.0,16.0,3.0,0.0,3,0,0,5.0,0,Critical
192.0.2.18,5,14.919999999999998,22.6,5.36,0.242,3,0,0,5.0,1,High
192.0.2.19,3,16.733333333333334,18.6,6.866666666666667,0.0,3,0,1,1.0,2,Moderate
192.0.2.2,9,10.511111111111111,16.0,3.755555555555555,0.0,3,0,0,5.0,0,Critical
192.0.2.20,11,18.045454545454547,22.6,7.509090909090909,0.005454545454545454,3,0,1,5.0,1,High
192.0.2.21,5,9.0,16.0,3.0,0.0,3,0,0,2.0,0,Critical
192.0.2.22,18,17.86111111111111,30.3,7.105555555555556,0.07388888888888889,3,1,0,5.0,1,High
192.0.2.23,2,8.4,13.8,2.7,0.0,3,0,0,5.0,0,Critical
192.0.2.24,6,9.966666666666667,16.0,3.483333333333333,0.0,3,0,0,5.0,0,Critical
192.0.2.25,3,6.6000000000000005,13.8,1.8,0.0,3,0,0,5.0,0,Critical
192.0.2.26,9,15.811111111111112,31.5,5.911111111111111,0.08666666666666667,3,1,1,5.0,1,High
192.0.2.27,11,10.89090909090909,16.0,3.9454545454545453,0.0,3,0,2,5.0,0,Critical
192.0.2.28,10,16.21,22.6,6.6,0.006,3,0,0,5.0,1,High
192.0.2.29,7,8.714285714285714,16.0,2.857142857142857,0.0,3,0,1,5.0,0,Critical
192.0.2.3,5,17.44,19.8,7.220000000000001,0.0,3,0,0,5.0,1,High
192.0.2.30,89,30.93820224719101,42.2,7.613483146067416,0.21629213483146068,3,29,4,5.0,3,Low
192.0.2.31,81,17.651851851851852,30.3,7.203703703703703,0.012469135802469136,3,2,5,5.0,3,Low
192.0.2.32,3,6.6000000000000005,13.8,1.8,0.0,3,0,0,5.0,0,Critical
192.0.2.33,7,16.085714285714285,31.3,5.757142857142857,0.1685714285714286,3,1,1,5.0,1,High
192.0.2.34,48,21.283333333333335,32.2,8.522916666666667,0.01875,3,10,5,4.0,3,Low
192.0.2.35,3,16.733333333333334,18.6,6.866666666666667,0.0,3,0,0,4.0,1,High
192.0.2.36,7,8.714285714285714,16.0,2.857142857142857,0.0,3,0,0,5.0,0,Critical
192.0.2.37,6,17.76666666666667,20.6,7.383333333333333,0.0,3,0,0,5.0,1,High
