host_ip,qtd_vulns,score_medio,score_max,cvss_medio,epss_medio,exposicao,qtd_cisa,qtd_cve_trend,meses_aberto_max,cluster,perfil_risco
10.1.30.41,2,19.200000000000003,19.8,8.1,0.0,3,0,0,0.0,1,Alto
10.10.1.10,13,16.923076923076923,22.6,6.884615384615385,0.030000000000000002,3,0,0,5.0,0,Crítico
10.10.1.140,14,18.614285714285717,27.0,7.535714285714286,0.03785714285714286,3,1,0,5.0,0,Crítico
10.10.1.17,7,9.085714285714285,16.0,3.042857142857143,0.0,3,0,0,5.0,2,Moderado
10.10.1.171,16,17.56875,30.3,6.8875,0.095625,3,1,0,5.0,0,Crítico
10.10.1.187,16,19.7875,32.2,7.65625,0.10625,3,2,0,5.0,0,Crítico
10.10.1.20,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
10.10.1.253,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
10.10.1.254,5,9.0,16.0,3.0,0.0,3,0,0,5.0,2,Moderado
10.10.1.3,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
10.10.1.35,12,13.424999999999999,18.2,5.1000000000000005,0.04416666666666667,3,0,0,5.0,2,Moderado
10.10.1.36,8,11.9375,17.5,4.3,0.06625,3,0,0,5.0,2,Moderado
10.10.1.40,12,27.75,39.6,6.875,0.115,3,1,0,2.0,1,Alto
10.10.1.43,89,30.93820224719101,42.2,7.613483146067416,0.21629213483146068,3,29,0,5.0,0,Crítico
10.10.1.44,21,18.10952380952381,30.3,7.085714285714286,0.13857142857142857,3,1,0,5.0,0,Crítico
10.10.1.45,21,18.10952380952381,30.3,7.085714285714286,0.13857142857142857,3,1,0,5.0,0,Crítico
10.10.1.46,9,17.444444444444443,22.6,7.055555555555555,0.06444444444444446,3,0,0,5.0,0,Crítico
10.10.1.48,15,18.006666666666668,30.3,7.08,0.10133333333333333,3,1,0,5.0,0,Crítico
10.10.1.49,15,18.366666666666667,30.3,7.260000000000001,0.10133333333333333,3,1,0,5.0,0,Crítico
10.10.1.51,13,17.03846153846154,22.6,6.869230769230769,0.05846153846153846,3,0,0,5.0,0,Crítico
10.10.1.55,40,18.5375,30.3,7.545,0.0645,3,1,0,5.0,0,Crítico
10.10.1.56,22,17.5,29.6,6.840909090909091,0.07272727272727274,3,2,0,5.0,0,Crítico
10.10.1.57,11,18.381818181818183,29.6,7.145454545454545,0.12545454545454546,3,1,0,5.0,0,Crítico
10.10.1.59,16,18.50625,22.6,7.63125,0.0475,3,0,0,5.0,0,Crítico
10.10.1.60,13,18.576923076923077,30.3,7.300000000000001,0.11692307692307692,3,1,0,5.0,0,Crítico
10.10.1.62,39,17.566666666666666,30.3,6.571794871794872,0.054615384615384614,3,9,0,5.0,0,Crítico
10.10.1.63,31,17.425806451612903,30.3,6.319354838709677,0.06806451612903225,3,9,0,5.0,0,Crítico
10.10.1.65,12,16.316666666666666,22.6,6.533333333333334,0.04833333333333334,3,0,0,5.0,0,Crítico
10.10.1.66,6,9.233333333333333,16.0,3.116666666666667,0.0,3,0,0,5.0,2,Moderado
10.10.1.68,33,22.724242424242423,30.3,8.348484848484848,0.11939393939393939,3,16,0,5.0,0,Crítico
10.10.1.80,3,9.066666666666668,13.8,3.0333333333333337,0.0,3,0,0,5.0,2,Moderado
10.10.1.81,4,11.85,20.2,4.425,0.0,3,0,0,5.0,2,Moderado
10.10.1.9,18,17.86111111111111,30.3,7.105555555555556,0.07388888888888889,3,1,0,5.0,0,Crítico
10.10.102.102,7,16.285714285714285,18.6,6.571428571428571,0.027142857142857142,3,0,0,5.0,0,Crítico
10.10.102.103,5,19.080000000000002,22.6,8.040000000000001,0.0,3,0,0,3.0,0,Crítico
10.10.102.106,5,18.46,25.7,7.220000000000001,0.004,3,1,0,1.0,1,Alto
10.10.102.109,12,19.84166666666667,30.3,7.825,0.15583333333333335,3,1,0,5.0,0,Crítico
10.10.102.11,9,10.444444444444445,20.0,3.611111111111111,0.04555555555555555,3,0,0,5.0,2,Moderado
10.10.102.111,9,16.45555555555556,22.6,6.722222222222222,0.0044444444444444444,3,0,0,5.0,0,Crítico
10.10.102.112,5,8.82,17.3,2.48,0.16999999999999998,3,0,0,5.0,2,Moderado
10.10.102.113,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
10.10.102.114,2,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
10.10.102.116,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
10.10.102.120,2,15.8,18.6,6.4,0.0,3,0,0,5.0,2,Moderado
10.10.102.122,20,17.21,22.6,7.095000000000001,0.0055,3,0,0,5.0,0,Crítico
10.10.102.123,5,17.6,20.6,7.3,0.0,3,0,0,4.0,0,Crítico
10.10.102.126,10,16.21,22.6,6.6,0.006,3,0,0,5.0,0,Crítico
10.10.102.130,2,18.3,18.6,7.65,0.0,3,0,0,0.0,1,Alto
10.10.102.132,22,17.78181818181818,30.3,7.154545454545455,0.050454545454545446,3,1,0,4.0,0,Crítico
10.10.102.133,12,19.2,23.2,7.908333333333334,0.07666666666666667,3,0,0,5.0,0,Crítico
10.10.102.135,7,17.514285714285716,22.6,7.257142857142857,0.0,3,0,0,5.0,0,Crítico
10.10.102.139,5,17.84,20.6,7.42,0.0,3,0,0,5.0,0,Crítico
10.10.102.140,2,20.6,22.6,8.8,0.0,3,0,0,0.0,1,Alto
10.10.102.141,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
10.10.102.145,8,18.450000000000003,22.6,7.725,0.00125,3,0,0,5.0,0,Crítico
10.10.102.148,3,17.400000000000002,20.6,7.2,0.0,3,0,0,5.0,0,Crítico
10.10.102.154,25,17.656000000000002,30.3,7.132000000000001,0.039599999999999996,3,1,0,5.0,0,Crítico
10.10.102.159,27,21.42222222222222,30.3,8.137037037037038,0.09703703703703705,3,9,0,5.0,0,Crítico
10.10.102.16,12,19.691666666666666,30.3,7.75,0.15583333333333335,3,1,0,5.0,0,Crítico
10.10.102.160,5,14.760000000000002,20.6,5.88,0.0,3,0,0,5.0,2,Moderado
10.10.102.170,6,17.733333333333334,22.6,7.366666666666667,0.0016666666666666668,3,0,0,5.0,0,Crítico
10.10.102.172,6,19.8,22.6,8.4,0.0,3,0,0,5.0,0,Crítico
10.10.102.173,21,22.133333333333333,30.3,8.295238095238096,0.08095238095238096,3,9,0,5.0,0,Crítico
10.10.102.18,11,19.05454545454546,23.0,8.027272727272727,0.0009090909090909091,3,0,0,5.0,0,Crítico
10.10.102.182,21,21.52857142857143,27.6,8.223809523809525,0.03619047619047619,3,8,0,3.0,0,Crítico
10.10.102.186,29,18.062068965517245,30.3,7.362068965517241,0.03379310344827586,3,1,0,5.0,0,Crítico
10.10.102.189,85,22.96235294117647,32.2,8.367058823529412,0.23376470588235296,3,34,0,5.0,0,Crítico
10.10.102.196,81,17.651851851851852,30.3,7.203703703703703,0.012469135802469136,3,2,0,5.0,0,Crítico
10.10.102.197,20,20.625,27.0,7.834999999999999,0.043500000000000004,3,7,0,3.0,0,Crítico
10.10.102.198,2,15.8,18.6,6.4,0.0,3,0,0,5.0,2,Moderado
10.10.102.20,3,9.4,16.0,3.1999999999999997,0.0,3,0,0,0.0,1,Alto
10.10.102.202,5,17.44,19.8,7.220000000000001,0.0,3,0,0,5.0,0,Crítico
10.10.102.203,7,17.857142857142858,22.6,7.428571428571429,0.0014285714285714286,3,0,0,5.0,0,Crítico
10.10.102.207,3,15.4,22.6,6.2,0.0,3,0,0,0.0,1,Alto
10.10.102.210,25,20.692000000000004,27.6,7.972,0.0308,3,8,0,5.0,0,Crítico
10.10.102.213,10,21.65,30.3,8.34,0.095,3,2,0,5.0,0,Crítico
10.10.102.216,14,17.114285714285714,22.6,7.057142857142857,0.0007142857142857143,3,0,0,5.0,0,Crítico
10.10.102.222,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
10.10.102.223,29,18.46551724137931,30.3,7.56551724137931,0.03275862068965517,3,1,0,5.0,0,Crítico
10.10.102.231,9,17.01111111111111,22.6,6.988888888888889,0.006666666666666666,3,0,0,5.0,0,Crítico
10.10.102.234,2,15.8,18.6,6.4,0.0,3,0,0,5.0,2,Moderado
10.10.102.236,89,20.442696629213483,32.0,7.704494382022473,0.13696629213483147,3,24,0,5.0,0,Crítico
10.10.102.238,8,11.375,20.0,4.0625,0.05125,3,0,0,5.0,2,Moderado
10.10.102.239,95,21.15157894736842,32.2,8.636842105263158,0.029789473684210525,3,13,0,5.0,0,Crítico
10.10.102.243,11,18.254545454545454,29.6,7.172727272727273,0.09,3,1,0,5.0,0,Crítico
10.10.102.247,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
10.10.102.249,8,18.9875,30.3,7.3875,0.11875,3,1,0,5.0,0,Crítico
10.10.102.250,7,18.97142857142857,22.6,7.985714285714286,0.0,3,0,0,4.0,0,Crítico
10.10.102.252,26,20.56153846153846,27.6,7.907692307692307,0.04153846153846154,3,8,0,5.0,0,Crítico
10.10.102.254,1,18.6,18.6,7.8,0.0,3,0,0,0.0,1,Alto
10.10.102.32,48,21.283333333333335,32.2,8.522916666666667,0.01875,3,10,0,4.0,0,Crítico
10.10.102.33,7,18.914285714285715,22.6,7.957142857142857,0.0,3,0,0,4.0,0,Crítico
10.10.102.38,5,17.6,20.6,7.3,0.0,3,0,0,4.0,0,Crítico
10.10.102.42,14,16.507142857142856,18.6,6.535714285714286,0.017857142857142856,3,1,0,5.0,0,Crítico
10.10.102.45,26,17.853846153846153,30.3,7.238461538461538,0.037307692307692306,3,1,0,5.0,0,Crítico
10.10.102.46,4,13.3,18.6,5.15,0.0,3,0,0,4.0,2,Moderado
10.10.102.53,29,17.648275862068967,30.3,7.06551724137931,0.03482758620689655,3,2,0,5.0,0,Crítico
10.10.102.54,3,17.400000000000002,20.6,7.2,0.0,3,0,0,5.0,0,Crítico
10.10.102.55,16,16.9875,22.6,6.99375,0.000625,3,0,0,5.0,0,Crítico
10.10.102.73,11,18.581818181818182,22.8,7.790909090909091,0.0,3,0,0,5.0,0,Crítico
10.10.102.75,3,16.733333333333334,18.6,6.866666666666667,0.0,3,0,0,4.0,0,Crítico
10.10.102.77,12,19.075,22.6,8.025,0.004166666666666667,3,0,0,5.0,0,Crítico
10.10.102.8,8,18.75,22.6,7.875,0.0,3,0,0,5.0,0,Crítico
10.10.102.84,6,18.866666666666667,22.6,7.933333333333334,0.0,3,0,0,5.0,0,Crítico
10.10.102.85,1,3.0,3.0,0.0,0.0,3,0,0,5.0,3,Baixo
10.10.102.88,6,15.866666666666667,18.6,6.433333333333334,0.0016666666666666668,3,0,0,5.0,0,Crítico
10.10.102.90,3,18.733333333333334,22.6,7.866666666666667,0.0,3,0,0,5.0,0,Crítico
10.10.102.92,31,16.683870967741935,30.3,6.6,0.03258064516129032,3,2,0,5.0,0,Crítico
10.10.102.93,8,18.975,22.6,7.987500000000001,0.0,3,0,0,4.0,0,Crítico
10.10.103.102,7,16.085714285714285,31.3,5.757142857142857,0.1685714285714286,3,1,0,5.0,0,Crítico
10.10.103.11,1,22.6,22.6,9.8,0.0,3,0,0,0.0,1,Alto
10.10.103.12,11,17.972727272727273,20.6,7.472727272727273,0.004545454545454546,3,0,0,2.0,1,Alto
10.10.103.122,7,12.085714285714285,19.4,4.214285714285714,0.13142857142857142,3,0,0,5.0,2,Moderado
10.10.103.123,11,12.127272727272727,23.2,4.345454545454545,0.08636363636363636,3,0,0,5.0,2,Moderado
10.10.103.124,8,11.875,19.4,4.15,0.115,3,0,0,5.0,2,Moderado
10.10.103.125,7,12.085714285714285,19.4,4.214285714285714,0.13142857142857142,3,0,0,5.0,2,Moderado
10.10.103.126,8,12.775,19.4,4.6,0.115,3,0,0,5.0,2,Moderado
10.10.103.127,8,11.725,19.4,4.075,0.115,3,0,0,5.0,2,Moderado
10.10.103.128,8,11.725,19.4,4.075,0.115,3,0,0,5.0,2,Moderado
10.10.103.129,7,12.085714285714285,19.4,4.214285714285714,0.13142857142857142,3,0,0,5.0,2,Moderado
10.10.103.130,8,11.725,19.4,4.075,0.115,3,0,0,5.0,2,Moderado
10.10.103.131,11,12.127272727272727,23.2,4.345454545454545,0.08636363636363636,3,0,0,5.0,2,Moderado
10.10.103.14,11,18.045454545454547,22.6,7.509090909090909,0.005454545454545454,3,0,0,5.0,0,Crítico
10.10.103.15,21,17.242857142857144,30.3,6.89047619047619,0.04523809523809524,3,1,0,5.0,0,Crítico
10.10.103.16,9,17.48888888888889,22.6,7.2444444444444445,0.0,3,0,0,0.0,1,Alto
10.10.103.17,8,17.425,20.6,7.2125,0.00125,3,0,0,3.0,0,Crítico
10.10.103.19,7,18.15714285714286,23.9,7.2,0.008571428571428572,3,1,0,2.0,1,Alto
10.10.103.20,19,18.5,23.9,7.605263157894737,0.00631578947368421,3,1,0,5.0,0,Crítico
10.10.103.21,25,20.58,29.6,7.716,0.07,3,9,0,4.0,0,Crítico
